剧名,url,更新集数,付费集数,id,总弹幕,播放量,追剧人数,抓取错误,id2,总弹幕2,追剧人数2,播放量2,ID周增,总弹幕周增,追剧周增,播放周增,追剧周增率,播放周增率,比例差,本周ID活跃比
尾钩（有声）,95503.0,第32集 · 错轨,25.0,1723.0,23591.0,1156446.0,24744.0,,1723.0,23591.0,24744.0,1156446.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.06963304235370191
谁来言说夜晚 上,94321.0,第95集,78.0,1087.0,36361.0,2285803.0,17124.0,,1087.0,36361.0,17124.0,2285803.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.06347815930857276
舍舟,93775.0,第一百一十一集：乱码,100.0,62.0,12948.0,87150.0,2097.0,,62.0,12948.0,2097.0,87150.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.02956604673342871
,nan,,,,,,,无法识别 drama_id,,,,,,,,,,,,
灯花笑 上季,94733.0,配乐·风雪袭我身,16.0,2277.0,101274.0,4529308.0,63719.0,,2277.0,101274.0,63719.0,4529308.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0357350240901458
嫡谋 1,94462.0,第十三集·「韩园探秘」,11.0,59.0,9823.0,447022.0,10797.0,,59.0,9823.0,10797.0,447022.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.00546448087431694
金陵春 1,94497.0,第十一集,8.0,35.0,5497.0,191834.0,6513.0,,35.0,5497.0,6513.0,191834.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0053738676493167515
任东西,94860.0,任东西·第九集,7.0,14.0,1853.0,96874.0,3550.0,,14.0,1853.0,3550.0,96874.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.003943661971830986
我花开后百花杀 第一季,94893.0,小剧场 · 中秋之礼,4.0,4.0,2432.0,162802.0,5377.0,,4.0,2432.0,5377.0,162802.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0007439092430723452
乘鸾 第一季,94849.0,第六集·火中取栗,3.0,78.0,174.0,158811.0,5689.0,,78.0,174.0,5689.0,158811.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.013710669713482159
是心跳说谎,95516.0,节日福利-中秋,1.0,70.0,2167.0,164956.0,7673.0,,70.0,2167.0,7673.0,164956.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.009122898475172683
尚公主 第一季,95847.0,壹·有女怀芬芳,0.0,0.0,0.0,54350.0,3587.0,,0.0,0.0,3587.0,54350.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
大唐辟珠记 第一季,94834.0,,,,,,,没有找到 sound_id,,,,,,,,,,,,
赛博BOSS,95678.0,视频花絮01,1.0,10.0,476.0,118103.0,5220.0,,10.0,476.0,5220.0,118103.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0019157088122605363
,nan,,,,,,,无法识别 drama_id,,,,,,,,,,,,
放学后别来我办公室,86868.0,第七课「等风来」,5.0,408.0,3859.0,788236.0,20369.0,,408.0,3859.0,20369.0,788236.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.020030438411311306
玫瑰美人,94009.0,第十六期,13.0,208.0,9174.0,156879.0,8733.0,,208.0,9174.0,8733.0,156879.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.023817702965762053
最红谐星 下,94605.0,✭第十二期✭,14.0,465.0,8181.0,60923.0,3603.0,,465.0,8181.0,3603.0,60923.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.12905911740216486
茱丽叶塔,95106.0,「第八集」“世间所缺少的爱”,5.0,118.0,3271.0,101411.0,6454.0,,118.0,3271.0,6454.0,101411.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0182832352029749
,nan,,,,,,,无法识别 drama_id,,,,,,,,,,,,
沉入地球,93569.0,番外2 · 2021凌晨,95.0,854.0,16800.0,785657.0,12880.0,,854.0,16800.0,12880.0,785657.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.06630434782608696
,nan,,,,,,,无法识别 drama_id,,,,,,,,,,,,
楚乌 第一季,94336.0,小剧场 离松观的日常2,10.0,157.0,1507.0,495678.0,9242.0,,157.0,1507.0,9242.0,495678.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.016987665007574117
守寡后我重生了2 ,95212.0,中秋福利音· 陈敬宗,6.0,88.0,1499.0,194898.0,4899.0,,88.0,1499.0,4899.0,194898.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.017962849561134926
错登科 1,94787.0,第十集·解语花,9.0,101.0,1248.0,167487.0,5757.0,,101.0,1248.0,5757.0,167487.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.017543859649122806
爱意私藏,94517.0,小剧场2健身,10.0,20.0,3719.0,34125.0,1354.0,,20.0,3719.0,1354.0,34125.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.014771048744460856
